Date,daily runoff
2019-01-01,0.46208245
2019-01-02,0.45311564
2019-01-03,0.44189268
2019-01-04,0.44014934
2019-01-05,0.44915295
2019-01-06,0.4511104
2019-01-07,0.45908225
2019-01-08,0.46864262
2019-01-09,0.46784216
2019-01-10,0.4649076
2019-01-11,0.4714077
2019-01-12,0.48843145
2019-01-13,0.49800074
2019-01-14,0.51298934
2019-01-15,0.528788
2019-01-16,0.53327286
2019-01-17,0.5345105
2019-01-18,0.5439289
2019-01-19,0.5625007
2019-01-20,0.57215977
2019-01-21,0.58572376
2019-01-22,0.5985622
2019-01-23,0.59856635
2019-01-24,0.5938551
2019-01-25,0.5959458
2019-01-26,0.6059355
2019-01-27,0.6059158
2019-01-28,0.60889125
2019-01-29,0.61044365
2019-01-30,0.59869623
2019-01-31,0.58201367
2019-02-01,0.572167
2019-02-02,0.5705075
2019-02-03,0.55937564
2019-02-04,0.552012
2019-02-05,0.54421544
2019-02-06,0.52430177
2019-02-07,0.500798
2019-02-08,0.48560318
2019-02-09,0.48015904
2019-02-10,0.4668561
2019-02-11,0.45894432
2019-02-12,0.4521905
2019-02-13,0.4348386
2019-02-14,0.4153068
2019-02-15,0.40535128
2019-02-16,0.40624192
2019-02-17,0.40017354
2019-02-18,0.4001829
2019-02-19,0.4018126
2019-02-20,0.39307845
2019-02-21,0.38217327
2019-02-22,0.38063776
2019-02-23,0.38954282
2019-02-24,0.39090624
2019-02-25,0.3976153
2019-02-26,0.40509495
2019-02-27,0.401278
2019-02-28,0.39431113
2019-03-01,0.39572674
2019-03-02,0.40662447
2019-03-03,0.4090864
2019-03-04,0.4160967
2019-03-05,0.42320547
2019-03-06,0.41849452
2019-03-07,0.41027716
2019-03-08,0.41026366
2019-03-09,0.41973612
2019-03-10,0.42095655
2019-03-11,0.42707965
2019-03-12,0.43380985
2019-03-13,0.42936105
2019-03-14,0.42215124
2019-03-15,0.42396307
2019-03-16,0.43611562
2019-03-17,0.44087034
2019-03-18,0.45134276
2019-03-19,0.4631604
2019-03-20,0.46442404
2019-03-21,0.4634056
2019-03-22,0.47171345
2019-03-23,0.4904692
2019-03-24,0.5017204
2019-03-25,0.51835966
2019-03-26,0.5357896
2019-03-27,0.5418928
2019-03-28,0.5447372
2019-03-29,0.555749
2019-03-30,0.575897
2019-03-31,0.58711123
2019-04-01,0.6022075
2019-04-02,0.61655647
2019-04-03,0.61805636
2019-04-04,0.61483926
2019-04-05,0.61844397
2019-04-06,0.6299979
2019-04-07,0.63163257
2019-04-08,0.6364023
2019-04-09,0.6399477
2019-04-10,0.6304597
2019-04-11,0.61637783
2019-04-12,0.6095531
2019-04-13,0.6114205
2019-04-14,0.60440403
2019-04-15,0.60182583
2019-04-16,0.59956014
2019-04-17,0.5859892
2019-04-18,0.5696934
2019-04-19,0.5626092
2019-04-20,0.5661964
2019-04-21,0.5628409
2019-04-22,0.5657634
2019-04-23,0.57067466
2019-04-24,0.56573427
2019-04-25,0.5592474
2019-04-26,0.56282854
2019-04-27,0.5775791
2019-04-28,0.58549947
2019-04-29,0.5994102
2019-04-30,0.61461884
2019-05-01,0.6188924
2019-05-02,0.6201666
2019-05-03,0.62972254
2019-05-04,0.64837575
2019-05-05,0.65790004
2019-05-06,0.6709569
2019-05-07,0.6827707
2019-05-08,0.6811061
2019-05-09,0.6739803
2019-05-10,0.67284054
2019-05-11,0.67875075
2019-05-12,0.6738108
2019-05-13,0.6710783
2019-05-14,0.66623455
2019-05-15,0.6475494
2019-05-16,0.6235798
2019-05-17,0.606332
2019-05-18,0.5974312
2019-05-19,0.5795237
2019-05-20,0.5661812
2019-05-21,0.55354947
2019-05-22,0.5302969
2019-05-23,0.50529855
2019-05-24,0.49078467
2019-05-25,0.48850027
2019-05-26,0.48109892
2019-05-27,0.48204264
2019-05-28,0.4872486
2019-05-29,0.48504025
2019-05-30,0.48383635
2019-05-31,0.49530932
2019-06-01,0.5205568
2019-06-02,0.5415116
2019-06-03,0.57085997
2019-06-04,0.6037096
2019-06-05,0.62756324
2019-06-06,0.6500328
2019-06-07,0.6820217
2019-06-08,0.7239221
2019-06-09,0.7570491
2019-06-10,0.7935818
2019-06-11,0.82825154
2019-06-12,0.8483351
2019-06-13,0.86138177
2019-06-14,0.8784077
2019-06-15,0.9000994
2019-06-16,0.9082493
2019-06-17,0.9156943
2019-06-18,0.9179959
2019-06-19,0.90341985
2019-06-20,0.8806458
2019-06-21,0.8619391
2019-06-22,0.8493275
2019-06-23,0.8260071
2019-06-24,0.80624735
2019-06-25,0.78703606
2019-06-26,0.75802237
2019-06-27,0.72918934
2019-06-28,0.7139888
2019-06-29,0.71548307
2019-06-30,0.7177171
