Date,weekly runoff
2019-01-01,3.3093362
2019-01-02,3.274413
2019-01-03,3.2498255
2019-01-04,3.2278712
2019-01-05,3.2115495
2019-01-06,3.2019753
2019-01-07,3.1995656
2019-01-08,3.205001
2019-01-09,3.2145276
2019-01-10,3.2378163
2019-01-11,3.2664561
2019-01-12,3.3025985
2019-01-13,3.3463876
2019-01-14,3.3971677
2019-01-15,3.4544694
2019-01-16,3.5133398
2019-01-17,3.5822349
2019-01-18,3.6515465
2019-01-19,3.7222824
2019-01-20,3.793532
2019-01-21,3.8637064
2019-01-22,3.9315577
2019-01-23,3.9915366
2019-01-24,4.0517097
2019-01-25,4.102302
2019-01-26,4.1443925
2019-01-27,4.1773834
2019-01-28,4.200239
2019-01-29,4.212498
2019-01-30,4.2096143
2019-01-31,4.200852
2019-02-01,4.177803
2019-02-02,4.143044
2019-02-03,4.097572
2019-02-04,4.042001
2019-02-05,3.9775307
2019-02-06,3.9012427
2019-02-07,3.8239534
2019-02-08,3.7386868
2019-02-09,3.6492968
2019-02-10,3.5578656
2019-02-11,3.4658716
2019-02-12,3.3751364
2019-02-13,3.2831037
2019-02-14,3.2006855
2019-02-15,3.120735
2019-02-16,3.0466743
2019-02-17,2.97991
2019-02-18,2.9210227
2019-02-19,2.8707428
2019-02-20,2.825266
2019-02-21,2.7941368
2019-02-22,2.768764
2019-02-23,2.7510946
2019-02-24,2.7410743
2019-02-25,2.737881
2019-02-26,2.7409427
2019-02-27,2.7452931
2019-02-28,2.7594876
2019-03-01,2.7741482
2019-03-02,2.7906578
2019-03-03,2.8086326
2019-03-04,2.8271656
2019-03-05,2.8458393
2019-03-06,2.8600693
2019-03-07,2.8790054
2019-03-08,2.894049
2019-03-09,2.907515
2019-03-10,2.9200704
2019-03-11,2.9319324
2019-03-12,2.9438388
2019-03-13,2.952349
2019-03-14,2.967696
2019-03-15,2.9822636
2019-03-16,2.99921
2019-03-17,3.0198665
2019-03-18,3.0449116
2019-03-19,3.075318
2019-03-20,3.1076376
2019-03-21,3.151851
2019-03-22,3.1998453
2019-03-23,3.2540505
2019-03-24,3.31486
2019-03-25,3.3818314
2019-03-26,3.45467
2019-03-27,3.5285544
2019-03-28,3.612035
2019-03-29,3.6955588
2019-03-30,3.7801578
2019-03-31,3.8649228
2019-04-01,3.9482503
2019-04-02,4.0288744
2019-04-03,4.101234
2019-04-04,4.173401
2019-04-05,4.2356377
2019-04-06,4.2890964
2019-04-07,4.333305
2019-04-08,4.3674073
2019-04-09,4.391184
2019-04-10,4.400395
2019-04-11,4.404674
2019-04-12,4.396043
2019-04-13,4.377563
2019-04-14,4.350759
2019-04-15,4.316804
2019-04-16,4.2774706
2019-04-17,4.230413
2019-04-18,4.1869926
2019-04-19,4.140736
2019-04-20,4.0959287
2019-04-21,4.054993
2019-04-22,4.0196342
2019-04-23,3.9917638
2019-04-24,3.968762
2019-04-25,3.9613075
2019-04-26,3.961837
2019-04-27,3.9731681
2019-04-28,3.995909
2019-04-29,4.0296545
2019-04-30,4.0739675
2019-05-01,4.123712
2019-05-02,4.1869545
2019-05-03,4.2535095
2019-05-04,4.323643
2019-05-05,4.3955703
2019-05-06,4.4667315
2019-05-07,4.534854
2019-05-08,4.593351
2019-05-09,4.6492896
2019-05-10,4.691979
2019-05-11,4.721712
2019-05-12,4.737279
2019-05-13,4.737248
2019-05-14,4.721011
2019-05-15,4.6841516
2019-05-16,4.636361
2019-05-17,4.5699654
2019-05-18,4.488585
2019-05-19,4.394557
2019-05-20,4.290115
2019-05-21,4.178322
2019-05-22,4.0583277
2019-05-23,3.94317
2019-05-24,3.828187
2019-05-25,3.7195709
2019-05-26,3.6216967
2019-05-27,3.5382109
2019-05-28,3.4729023
2019-05-29,3.424905
2019-05-30,3.4064696
2019-05-31,3.4113667
2019-06-01,3.4434597
2019-06-02,3.5040662
2019-06-03,3.5931134
2019-06-04,3.710091
2019-06-05,3.8493595
2019-06-06,4.018046
2019-06-07,4.2045884
2019-06-08,4.4074574
2019-06-09,4.622682
2019-06-10,4.8451667
2019-06-11,5.069813
2019-06-12,5.286982
2019-06-13,5.500548
2019-06-14,5.6965723
2019-06-15,5.872148
2019-06-16,6.0230174
2019-06-17,6.1449633
2019-06-18,6.234965
2019-06-19,6.2866797
2019-06-20,6.3084626
2019-06-21,6.2919946
2019-06-22,6.241032
2019-06-23,6.158905
2019-06-24,6.04976
2019-06-25,5.9195323
2019-06-26,5.7712336
2019-06-27,5.622744
2019-06-28,5.4752097
2019-06-29,5.3415446
2019-06-30,5.233685
2019-07-01,5.1635847
2019-07-02,5.1439576
2019-07-03,5.1833386
2019-07-04,5.303684
2019-07-05,5.508594
2019-07-06,5.811674
2019-07-07,6.2236886
2019-07-08,6.75349
2019-07-09,7.4087405
2019-07-10,8.190994
2019-07-11,9.113366
2019-07-12,10.168865
2019-07-13,11.358914
2019-07-14,12.680692
2019-07-15,14.128297
2019-07-16,15.693736
2019-07-17,17.362297
2019-07-18,19.130531
2019-07-19,20.974905
2019-07-20,22.880669
2019-07-21,24.829525
2019-07-22,26.801119
2019-07-23,28.774342
2019-07-24,30.722994
2019-07-25,32.634026
2019-07-26,34.47642
2019-07-27,36.23025
2019-07-28,37.874477
2019-07-29,39.388542
2019-07-30,40.753723
2019-07-31,41.948753
2019-08-01,42.968044
2019-08-02,43.79044
2019-08-03,44.408077
2019-08-04,44.81402
2019-08-05,45.003597
2019-08-06,44.975433
2019-08-07,44.72682
2019-08-08,44.27153
2019-08-09,43.60823
2019-08-10,42.74903
2019-08-11,41.706696
2019-08-12,40.495644
2019-08-13,39.132645
2019-08-14,37.631847
2019-08-15,36.02232
2019-08-16,34.316223
2019-08-17,32.537075
2019-08-18,30.70687
2019-08-19,28.846884
2019-08-20,26.978334
2019-08-21,25.117363
2019-08-22,23.29259
2019-08-23,21.51337
2019-08-24,19.798187
2019-08-25,18.16188
2019-08-26,16.616703
2019-08-27,15.17318
2019-08-28,13.835354
2019-08-29,12.618635
2019-08-30,11.518322
2019-08-31,10.538316
2019-09-01,9.678658
2019-09-02,8.936861
2019-09-03,8.3090725
2019-09-04,7.785575
2019-09-05,7.368885
2019-09-06,7.0424895
2019-09-07,6.79974
2019-09-08,6.6315374
2019-09-09,6.527782
2019-09-10,6.4785957
2019-09-11,6.469867
2019-09-12,6.5013423
2019-09-13,6.5553174
2019-09-14,6.625463
2019-09-15,6.7044015
2019-09-16,6.7850223
2019-09-17,6.8615522
2019-09-18,6.9249263
2019-09-19,6.980693
2019-09-20,7.0175123
2019-09-21,7.0357833
2019-09-22,7.0350304
2019-09-23,7.0150294
2019-09-24,6.976704
2019-09-25,6.9173384
2019-09-26,6.8483353
2019-09-27,6.7636046
2019-09-28,6.668091
2019-09-29,6.565084
2019-09-30,6.45731
2019-10-01,6.347804
2019-10-02,6.2351236
2019-10-03,6.1311436
2019-10-04,6.029492
2019-10-05,5.9341426
2019-10-06,5.8468175
2019-10-07,5.7681727
2019-10-08,5.6987753
2019-10-09,5.6344347
2019-10-10,5.5841126
2019-10-11,5.538469
2019-10-12,5.4985657
2019-10-13,5.4633737
2019-10-14,5.4310455
2019-10-15,5.399974
2019-10-16,5.3641877
2019-10-17,5.3313093
2019-10-18,5.2911305
2019-10-19,5.244339
2019-10-20,5.190016
2019-10-21,5.126894
2019-10-22,5.0543857
2019-10-23,4.967933
2019-10-24,4.876908
2019-10-25,4.773124
2019-10-26,4.6594887
2019-10-27,4.537424
2019-10-28,4.4080515
2019-10-29,4.2731376
2019-10-30,4.13037
2019-10-31,3.9911902
2019-11-01,3.8492434
2019-11-02,3.7089777
2019-11-03,3.573024
2019-11-04,3.4433455
2019-11-05,3.3221688
2019-11-06,3.2072513
2019-11-07,3.1097183
2019-11-08,3.0225291
2019-11-09,2.949105
2019-11-10,2.890743
2019-11-11,2.8478115
2019-11-12,2.8207316
2019-11-13,2.8053002
2019-11-14,2.8105843
2019-11-15,2.827448
2019-11-16,2.8572354
2019-11-17,2.8992455
2019-11-18,2.9519737
2019-11-19,3.014141
2019-11-20,3.0800571
2019-11-21,3.157544
2019-11-22,3.2364864
2019-11-23,3.3175304
2019-11-24,3.3995583
2019-11-25,3.4809325
2019-11-26,3.5605102
2019-11-27,3.6329865
2019-11-28,3.706795
2019-11-29,3.7726247
2019-11-30,3.8320854
2019-12-01,3.8851435
