Date,daily runoff
2019-01-01,1.6761883
2019-01-02,1.7050734
2019-01-03,1.7241735
2019-01-04,1.7458154
2019-01-05,1.7584068
2019-01-06,1.7706388
2019-01-07,1.7865838
2019-01-08,1.7987379
2019-01-09,1.8167248
2019-01-10,1.8252165
2019-01-11,1.8364807
2019-01-12,1.8388523
2019-01-13,1.8409365
2019-01-14,1.8467113
2019-01-15,1.8485726
2019-01-16,1.8560431
2019-01-17,1.8536961
2019-01-18,1.8537073
2019-01-19,1.84433
2019-01-20,1.834102
2019-01-21,1.826951
2019-01-22,1.8152437
2019-01-23,1.8084959
2019-01-24,1.7912982
2019-01-25,1.77587
2019-01-26,1.7505338
2019-01-27,1.7239236
2019-01-28,1.700087
2019-01-29,1.6715344
2019-01-30,1.6479461
2019-01-31,1.6140947
2019-02-01,1.5823957
2019-02-02,1.5413779
2019-02-03,1.4998862
2019-02-04,1.4621799
2019-02-05,1.420977
2019-02-06,1.3861548
2019-02-07,1.3426691
2019-02-08,1.3030989
2019-02-09,1.2561125
2019-02-10,1.2106664
2019-02-11,1.1711013
2019-02-12,1.1301816
2019-02-13,1.0977955
2019-02-14,1.0588732
2019-02-15,1.0259298
2019-02-16,0.9875338
2019-02-17,0.9525065
2019-02-18,0.9250199
2019-02-19,0.8976401
2019-02-20,0.8800311
2019-02-21,0.8568768
2019-02-22,0.8404298
2019-02-23,0.81898487
2019-02-24,0.80108386
2019-02-25,0.79061997
2019-02-26,0.7798867
2019-02-27,0.7782878
2019-02-28,0.7702643
2019-03-01,0.76784855
2019-03-02,0.7591421
2019-03-03,0.752525
2019-03-04,0.7517625
2019-03-05,0.74905705
2019-03-06,0.7537589
2019-03-07,0.7502942
2019-03-08,0.7507188
2019-03-09,0.74319434
2019-03-10,0.73619574
2019-03-11,0.73361504
2019-03-12,0.7278093
2019-03-13,0.7283074
2019-03-14,0.71973306
2019-03-15,0.7143535
2019-03-16,0.7005503
2019-03-17,0.687021
2019-03-18,0.67787766
2019-03-19,0.66568947
2019-03-20,0.6601846
2019-03-21,0.6461683
2019-03-22,0.6360682
2019-03-23,0.6184012
2019-03-24,0.6019729
2019-03-25,0.5909739
2019-03-26,0.5780219
2019-03-27,0.5728627
2019-03-28,0.56029
2019-03-29,0.5526908
2019-03-30,0.5385155
2019-03-31,0.5264796
2019-04-01,0.5206638
2019-04-02,0.5135594
2019-04-03,0.5147742
2019-04-04,0.50895584
2019-04-05,0.5083427
2019-04-06,0.5012375
2019-04-07,0.49621403
2019-04-08,0.49722075
2019-04-09,0.4966301
2019-04-10,0.50394714
2019-04-11,0.5037358
2019-04-12,0.508171
2019-04-13,0.5055143
2019-04-14,0.50432
2019-04-15,0.50853926
2019-04-16,0.510568
2019-04-17,0.5199542
2019-04-18,0.5213214
2019-04-19,0.5269187
2019-04-20,0.52509254
2019-04-21,0.5244901
2019-04-22,0.5291589
2019-04-23,0.5315914
2019-04-24,0.5414282
2019-04-25,0.54337853
2019-04-26,0.5497663
2019-04-27,0.54899913
2019-04-28,0.54976934
2019-04-29,0.55615157
2019-04-30,0.5606463
2019-05-01,0.5728821
2019-05-02,0.5775361
2019-05-03,0.5868811
2019-05-04,0.58925575
2019-05-05,0.59326756
2019-05-06,0.6028932
2019-05-07,0.6105248
2019-05-08,0.6256759
2019-05-09,0.6329058
2019-05-10,0.64437
2019-05-11,0.6482953
2019-05-12,0.65318555
2019-05-13,0.66292673
2019-05-14,0.6698361
2019-05-15,0.6833716
2019-05-16,0.6880579
2019-05-17,0.69604
2019-05-18,0.69555837
2019-05-19,0.6951564
2019-05-20,0.6987847
2019-05-21,0.6988494
2019-05-22,0.70492035
2019-05-23,0.70165503
2019-05-24,0.70134866
2019-05-25,0.692407
2019-05-26,0.6835491
2019-05-27,0.6789081
2019-05-28,0.6710753
2019-05-29,0.66980344
2019-05-30,0.65992653
2019-05-31,0.65390617
2019-06-01,0.6402998
2019-06-02,0.6279605
2019-06-03,0.62113434
2019-06-04,0.6125021
2019-06-05,0.6118814
2019-06-06,0.6041444
2019-06-07,0.6017648
2019-06-08,0.59328574
2019-06-09,0.587521
2019-06-10,0.58865434
2019-06-11,0.58928335
2019-06-12,0.5991243
2019-06-13,0.6029341
2019-06-14,0.61305994
2019-06-15,0.6179118
2019-06-16,0.6261677
2019-06-17,0.64187664
2019-06-18,0.6575066
2019-06-19,0.6826527
2019-06-20,0.7019624
2019-06-21,0.7276876
2019-06-22,0.74815917
2019-06-23,0.7719934
2019-06-24,0.80319554
2019-06-25,0.83420753
2019-06-26,0.8746153
2019-06-27,0.9090722
2019-06-28,0.9498484
2019-06-29,0.985303
2019-06-30,1.0240864
2019-07-01,1.0702397
2019-07-02,1.116239
2019-07-03,1.1716971
2019-07-04,1.2212837
2019-07-05,1.2772696
2019-07-06,1.3279948
2019-07-07,1.3820682
2019-07-08,1.443463
2019-07-09,1.5045594
2019-07-10,1.574845
2019-07-11,1.6388334
2019-07-12,1.7086105
2019-07-13,1.772303
2019-07-14,1.8382808
2019-07-15,1.910256
2019-07-16,1.9803305
2019-07-17,2.0577006
2019-07-18,2.1265833
2019-07-19,2.1987681
2019-07-20,2.2620935
2019-07-21,2.3246562
2019-07-22,2.389919
2019-07-23,2.4497652
2019-07-24,2.5132105
2019-07-25,2.564337
2019-07-26,2.61485
2019-07-27,2.6525612
2019-07-28,2.6856012
2019-07-29,2.7175324
2019-07-30,2.7404027
2019-07-31,2.7634602
2019-08-01,2.7710845
2019-08-02,2.7753432
2019-08-03,2.76447
2019-08-04,2.7470725
2019-08-05,2.7272363
2019-08-06,2.6975749
2019-08-07,2.6679327
2019-08-08,2.623307
2019-08-09,2.5763943
2019-08-10,2.5160568
2019-08-11,2.4515188
2019-08-12,2.3874614
2019-08-13,2.3170578
2019-08-14,2.2506688
2019-08-15,2.1737528
2019-08-16,2.0994039
2019-08-17,2.0168097
2019-08-18,1.935443
2019-08-19,1.8601484
2019-08-20,1.7841765
2019-08-21,1.7178755
2019-08-22,1.6466031
2019-08-23,1.5832644
2019-08-24,1.516774
2019-08-25,1.456252
2019-08-26,1.4061174
2019-08-27,1.3591298
2019-08-28,1.3250912
2019-08-29,1.2887666
2019-08-30,1.262434
2019-08-31,1.234358
2019-09-01,1.212997
2019-09-02,1.2021105
2019-09-03,1.1938109
2019-09-04,1.1972779
2019-09-05,1.1966903
2019-09-06,1.2037855
2019-09-07,1.2063427
2019-09-08,1.2123982
2019-09-09,1.2253578
2019-09-10,1.2370561
2019-09-11,1.2564726
2019-09-12,1.2676656
2019-09-13,1.2823329
2019-09-14,1.2882925
2019-09-15,1.2936957
2019-09-16,1.302136
2019-09-17,1.3057009
2019-09-18,1.3136827
2019-09-19,1.3105047
2019-09-20,1.3082718
2019-09-21,1.2952436
2019-09-22,1.2800374
2019-09-23,1.2667263
2019-09-24,1.2478828
2019-09-25,1.2332785
2019-09-26,1.2078016
2019-09-27,1.1839993
2019-09-28,1.1505425
2019-09-29,1.1164217
2019-09-30,1.0860398
2019-10-01,1.0522498
2019-10-02,1.0250514
2019-10-03,0.9895061
2019-10-04,0.9582779
2019-10-05,0.92009777
2019-10-06,0.8839609
2019-10-07,0.8542213
2019-10-08,0.8236326
2019-10-09,0.80204904
2019-10-10,0.7743447
2019-10-11,0.75295967
2019-10-12,0.7263712
2019-10-13,0.70329624
2019-10-14,0.68779296
2019-10-15,0.6723082
2019-10-16,0.66638494
2019-10-17,0.6545874
2019-10-18,0.64905417
2019-10-19,0.6379741
2019-10-20,0.6297941
2019-10-21,0.6283259
2019-10-22,0.62579626
2019-10-23,0.63155866
2019-10-24,0.63002044
2019-10-25,0.6331977
2019-10-26,0.6291922
2019-10-27,0.62639993
2019-10-28,0.62861705
2019-10-29,0.6280897
2019-10-30,0.63422364
2019-10-31,0.6315097
2019-11-01,0.63207626
2019-11-02,0.6241629
2019-11-03,0.6163265
2019-11-04,0.61254287
2019-11-05,0.6052537
2019-11-06,0.604072
2019-11-07,0.5937042
2019-11-08,0.5864986
2019-11-09,0.57091546
2019-11-10,0.5557293
2019-11-11,0.5451277
2019-11-12,0.5317545
2019-11-13,0.52541256
2019-11-14,0.510983
2019-11-15,0.50097114
2019-11-16,0.48397505
2019-11-17,0.46888518
2019-11-18,0.45998222
2019-11-19,0.4499789
2019-11-20,0.44872198
2019-11-21,0.44111112
2019-11-22,0.43964443
2019-11-23,0.43288714
2019-11-24,0.4296721
2019-11-25,0.43419796
2019-11-26,0.4390726
2019-11-27,0.45401612
2019-11-28,0.46378168
2019-11-29,0.48070294
2019-11-30,0.49316505
2019-12-01,0.5098076
2019-12-02,0.5346255
2019-12-03,0.56001514
2019-12-04,0.59548074
2019-12-05,0.62555766
2019-12-06,0.6623639
2019-12-07,0.69407314
2019-12-08,0.7291218
2019-12-09,0.77131236
2019-12-10,0.81286275
2019-12-11,0.8631151
2019-12-12,0.9064617
2019-12-13,0.9548983
2019-12-14,0.99649996
2019-12-15,1.0396279
2019-12-16,1.0880355
2019-12-17,1.1339167
2019-12-18,1.1866162
2019-12-19,1.2305537
2019-12-20,1.2777777
2019-12-21,1.3164386
2019-12-22,1.3549943
2019-12-23,1.3973141
2019-12-24,1.4357245
2019-12-25,1.4797152
2019-12-26,1.5138624
