Date,Discharge
2019-01-01,6048.3555
2019-01-02,6144.476
2019-01-03,6205.157
2019-01-04,6267.669
2019-01-05,6304.924
2019-01-06,6347.439
2019-01-07,6400.1406
2019-01-08,6432.4863
2019-01-09,6489.3755
2019-01-10,6512.6997
2019-01-11,6539.4727
2019-01-12,6542.281
2019-01-13,6551.259
2019-01-14,6570.908
2019-01-15,6570.234
2019-01-16,6593.674
2019-01-17,6582.664
2019-01-18,6573.7847
2019-01-19,6539.23
2019-01-20,6508.797
2019-01-21,6486.7163
2019-01-22,6441.806
2019-01-23,6418.4077
2019-01-24,6357.958
2019-01-25,6297.145
2019-01-26,6208.373
2019-01-27,6121.758
2019-01-28,6041.949
2019-01-29,5938.279
2019-01-30,5855.6865
2019-01-31,5736.283
2019-02-01,5617.4873
2019-02-02,5472.4775
2019-02-03,5332.169
2019-02-04,5202.0146
2019-02-05,5052.138
2019-02-06,4928.2373
2019-02-07,4773.1255
2019-02-08,4624.854
2019-02-09,4457.1484
2019-02-10,4301.362
2019-02-11,4163.274
2019-02-12,4013.2056
2019-02-13,3896.916
2019-02-14,3757.1455
2019-02-15,3631.7305
2019-02-16,3494.043
2019-02-17,3374.954
2019-02-18,3279.6375
2019-02-19,3177.6953
2019-02-20,3114.0745
2019-02-21,3030.6216
2019-02-22,2964.2185
2019-02-23,2887.2437
2019-02-24,2829.5542
2019-02-25,2795.3113
2019-02-26,2753.1318
2019-02-27,2747.02
2019-02-28,2717.9465
2019-03-01,2702.0
2019-03-02,2670.8655
2019-03-03,2653.82
2019-03-04,2654.5706
2019-03-05,2641.4094
2019-03-06,2658.1558
2019-03-07,2645.7312
2019-03-08,2640.314
2019-03-09,2613.808
2019-03-10,2595.8328
2019-03-11,2590.549
2019-03-12,2566.8015
2019-03-13,2569.0435
2019-03-14,2538.8965
2019-03-15,2513.2837
2019-03-16,2464.882
2019-03-17,2424.0908
2019-03-18,2395.8384
2019-03-19,2349.7075
2019-03-20,2330.8418
2019-03-21,2281.489
2019-03-22,2239.1238
2019-03-23,2176.8862
2019-03-24,2125.5427
2019-03-25,2090.2896
2019-03-26,2040.8705
2019-03-27,2022.4884
2019-03-28,1977.3495
2019-03-29,1942.7915
2019-03-30,1891.731
2019-03-31,1854.6354
2019-04-01,1836.3354
2019-04-02,1806.161
2019-04-03,1808.863
2019-04-04,1786.1757
2019-04-05,1774.9572
2019-04-06,1747.6536
2019-04-07,1734.2842
2019-04-08,1739.2662
2019-04-09,1731.5625
2019-04-10,1755.6115
2019-04-11,1752.8971
2019-04-12,1760.0955
2019-04-13,1749.5392
2019-04-14,1751.2032
2019-04-15,1769.5286
2019-04-16,1773.563
2019-04-17,1807.8865
2019-04-18,1814.1716
2019-04-19,1829.3198
2019-04-20,1825.9153
2019-04-21,1834.1986
2019-04-22,1858.878
2019-04-23,1869.2588
2019-04-24,1910.1553
2019-04-25,1923.4423
2019-04-26,1946.1797
2019-04-27,1951.0605
2019-04-28,1968.377
2019-04-29,2002.8275
2019-04-30,2023.6448
2019-05-01,2075.508
2019-05-02,2100.0962
2019-05-03,2134.2192
2019-05-04,2150.2715
2019-05-05,2178.2073
2019-05-06,2222.3582
2019-05-07,2251.5735
2019-05-08,2310.1448
2019-05-09,2339.3733
2019-05-10,2375.7126
2019-05-11,2391.2385
2019-05-12,2415.633
2019-05-13,2453.0173
2019-05-14,2472.0994
2019-05-15,2517.1074
2019-05-16,2529.3625
2019-05-17,2545.428
2019-05-18,2537.5754
2019-05-19,2535.7737
2019-05-20,2544.5127
2019-05-21,2532.9468
2019-05-22,2545.8218
2019-05-23,2525.0332
2019-05-24,2507.766
2019-05-25,2466.9456
2019-05-26,2433.2117
2019-05-27,2411.7273
2019-05-28,2372.3066
2019-05-29,2360.3235
2019-05-30,2318.2593
2019-05-31,2283.8247
2019-06-01,2230.4016
2019-06-02,2189.0051
2019-06-03,2165.084
2019-06-04,2128.6436
2019-06-05,2125.1516
2019-06-06,2097.084
2019-06-07,2082.0508
2019-06-08,2053.2415
2019-06-09,2041.3944
2019-06-10,2051.6086
2019-06-11,2053.476
2019-06-12,2092.0015
2019-06-13,2109.1646
2019-06-14,2142.057
2019-06-15,2163.3462
2019-06-16,2203.2607
2019-06-17,2266.4124
2019-06-18,2321.9468
2019-06-19,2414.4714
2019-06-20,2485.6284
2019-06-21,2572.24
2019-06-22,2646.7766
2019-06-23,2739.342
2019-06-24,2854.4988
2019-06-25,2961.4106
2019-06-26,3104.767
2019-06-27,3226.3452
2019-06-28,3363.144
2019-06-29,3487.8381
2019-06-30,3630.7478
2019-07-01,3796.6484
2019-07-02,3954.8938
2019-07-03,4150.3247
2019-07-04,4324.813
2019-07-05,4515.38
2019-07-06,4694.6353
2019-07-07,4892.7354
2019-07-08,5114.1826
2019-07-09,5327.942
2019-07-10,5578.345
2019-07-11,5806.6377
2019-07-12,6049.098
2019-07-13,6277.4863
2019-07-14,6521.015
2019-07-15,6783.1606
2019-07-16,7031.8022
2019-07-17,7310.147
2019-07-18,7558.3
2019-07-19,7811.4106
2019-07-20,8040.151
2019-07-21,8272.712
2019-07-22,8511.646
2019-07-23,8724.038
2019-07-24,8952.443
2019-07-25,9136.501
2019-07-26,9311.086
2019-07-27,9446.818
2019-07-28,9572.0625
2019-07-29,9689.791
2019-07-30,9767.743
